,NAME,Bowling style,Balls Bowled,Wickets Taken,Runs Conceded,Bowling Average,Bowling Strike Rate,Bowling Economy Rate
0,Abhinav Kumar,,0,0,0,,,0.0
1,AB Agarkar,Right-arm fast,782,29,1174,40.48275862068966,26.96551724137931,9.007672634271099
2,Neravanda Aiyappa,Right-arm medium,0,0,0,,,0.0
3,B Akhil,Right-arm medium-fast,188,6,246,41.0,31.333333333333332,7.851063829787234
4,L Ablish,Right-arm medium-fast,42,3,76,25.333333333333332,14.0,10.857142857142858
5,Anirudh Singh,Right-arm medium,0,0,0,,,0.0
6,J Arunkumar,Right-arm offbreak,0,0,0,,,0.0
7,Aditya Angle,Right-arm offbreak,0,0,0,,,0.0
8,R Ashwin,Right-arm offbreak,3230,138,3756,27.217391304347824,23.405797101449274,6.977089783281734
9,Ajitesh Argal,Right-arm medium,0,0,0,,,0.0
10,AG Murtaza,Slow left-arm orthodox,264,9,322,35.77777777777778,29.333333333333332,7.318181818181818
11,SA Asnodkar,Right-arm offbreak,0,0,0,,,0.0
12,Amit Singh,Right-arm medium-fast,0,0,0,,,0.0
13,Anand Rajan,Right-arm medium,0,0,0,,,0.0
14,S Anirudha,,0,0,0,,,0.0
15,Hemang Badani,Slow left-arm orthodox,0,0,0,,,0.0
16,S Badrinath,Right-arm offbreak,0,0,0,,,0.0
17,L Balaji,Right-arm medium-fast,1512,76,2083,27.407894736842106,19.894736842105264,8.265873015873016
18,R Bhatia,Right-arm medium-fast,1636,71,2059,29.0,23.04225352112676,7.5513447432762835
19,AA Bilakhia,Right-arm medium,0,0,0,,,0.0
20,Rohan Banerjee,Right-arm medium,0,0,0,,,0.0
21,RR Bhatkal,Right-arm medium,12,0,35,inf,inf,17.5
22,STR Binny,Right-arm medium,594,22,763,34.68181818181818,27.0,7.707070707070707
23,SB Bangar,Right-arm medium-fast,150,4,221,55.25,37.5,8.84
24,MS Bisla,,0,0,0,,,0.0
25,Saurabh Bandekar,Right-arm medium-fast,0,0,0,,,0.0
26,RR Bose,Right-arm fast-medium,12,0,24,inf,inf,12.0
27,A Chopra,"Right-arm medium, Right-arm offbreak",0,0,0,,,0.0
28,Deepak Chougule,Right-arm offbreak,0,0,0,,,0.0
29,B Chipli,Right-arm medium,6,0,20,inf,inf,20.0
30,Avik Chowdhury,Right-arm medium,0,0,0,,,0.0
31,Gaurav Chabra,Right-arm medium,0,0,0,,,0.0
32,A Chandila,Right-arm offbreak,234,11,245,22.272727272727273,21.272727272727273,6.282051282051282
33,Pankaj Dharmani,,0,0,0,,,0.0
34,MS Dhoni,Right-arm medium,0,0,0,,,0.0
35,R Dravid,Right-arm offbreak,0,0,0,,,0.0
36,P Dogra,Legbreak,0,0,0,,,0.0
37,S Dhawan,Right-arm offbreak,48,4,72,18.0,12.0,9.0
38,Gaurav Dhiman,Right-arm fast-medium,0,0,0,,,0.0
39,FY Fazal,Right-arm medium,12,0,20,inf,inf,10.0
40,Gagandeep Singh,Right-arm medium-fast,0,0,0,,,0.0
41,G Gambhir,Legbreak,0,0,0,,,0.0
42,C Ganapathy,Right-arm medium,6,0,13,inf,inf,13.0
43,Devang Gandhi,Right-arm medium,0,0,0,,,0.0
44,SC Ganguly,Right-arm medium,276,10,370,37.0,27.6,8.043478260869565
45,RS Gavaskar,Slow left-arm orthodox,6,0,8,inf,inf,8.0
46,Y Gnaneswara Rao,Right-arm medium,0,0,0,,,0.0
47,RV Gomez,Right-arm medium,96,5,130,26.0,19.2,8.125
48,Shatrunjay Gaekwad,Right-arm offbreak,0,0,0,,,0.0
49,K Goel,Right-arm offbreak,66,0,94,inf,inf,8.545454545454545
50,Yogesh Golwalkar,Legbreak,0,0,0,,,0.0
51,Harbhajan Singh,Right-arm offbreak,3374,150,4038,26.92,22.493333333333332,7.180794309425015
52,VA Indulkar,Right-arm medium,0,0,0,,,0.0
53,Dheeraj Jadhav,Right-arm offbreak,0,0,0,,,0.0
54,W Jaffer,Right-arm offbreak,0,0,0,,,0.0
55,SB Jakati,Slow left-arm orthodox,1085,47,1474,31.361702127659573,23.085106382978722,8.15115207373272
56,AA Jhunjhunwala,Right-arm offbreak,85,1,130,130.0,85.0,9.176470588235293
57,SB Joshi,Slow left-arm orthodox,55,1,82,82.0,55.0,8.945454545454545
58,Joginder Sharma,Right-arm fast-medium,0,0,0,,,0.0
59,M Kaif,Right-arm offbreak,0,0,0,,,0.0
60,KD Karthik,,0,0,0,,,0.0
61,M Kartik,Slow left-arm orthodox,1149,31,1418,45.74193548387097,37.064516129032256,7.404699738903394
62,Z Khan,Left-arm fast-medium,2200,102,2860,28.03921568627451,21.568627450980394,7.8
63,Sahil Kukreja,,0,0,0,,,0.0
64,A Kumble,Legbreak googly,965,45,1089,24.2,21.444444444444443,6.7709844559585495
65,MA Khote,Right-arm medium,30,2,52,26.0,15.0,10.4
66,U Kaul,,0,0,0,,,0.0
67,KV Sharma,Legbreak googly,1222,59,1645,27.88135593220339,20.71186440677966,8.076923076923077
68,D Kalyankrishna,Right-arm medium-fast,48,2,88,44.0,24.0,11.0
69,P Kumar,Right-arm medium,0,0,0,,,0.0
70,Saurasish Lahiri,Right-arm offbreak,0,0,0,,,0.0
71,VVS Laxman,Right-arm offbreak,0,0,0,,,0.0
72,M Manhas,Right-arm offbreak,42,0,42,inf,inf,6.0
73,MD Mishra,Right-arm offbreak,0,0,0,,,0.0
74,WA Mota,Right-arm medium,72,4,98,24.5,18.0,8.166666666666666
75,I Malhotra,Right-arm medium-fast,6,0,23,inf,inf,23.0
76,C Madan,,0,0,0,,,0.0
77,A Mishra,Legbreak,3161,160,3913,24.45625,19.75625,7.4273963935463465
78,Parag More,Right-arm offbreak,0,0,0,,,0.0
79,VY Mahesh,Right-arm medium-fast,339,21,511,24.333333333333332,16.142857142857142,9.044247787610619
80,VS Malik,Right-arm medium,205,6,268,44.666666666666664,34.166666666666664,7.84390243902439
81,AP Majumdar,Legbreak googly,0,0,0,,,0.0
82,Ashraf Makda,Left-arm medium-fast,0,0,0,,,0.0
83,Sushant Marathe,Legbreak googly,0,0,0,,,0.0
84,A Nehra,Left-arm medium-fast,1908,106,2537,23.933962264150942,18.0,7.977987421383648
85,S Nadeem,Slow left-arm orthodox,1391,47,1764,37.53191489361702,29.595744680851062,7.608914450035946
86,S Narwal,Right-arm medium,106,5,203,40.6,21.2,11.49056603773585
87,AM Nayar,Right-arm medium,229,9,323,35.888888888888886,25.444444444444443,8.462882096069869
88,C Nanda,Legbreak,48,2,58,29.0,24.0,7.25
89,Prashant Naik,Legbreak googly,0,0,0,,,0.0
90,NV Ojha,,0,0,0,,,0.0
91,PP Ojha,Slow left-arm orthodox,1899,89,2398,26.9438202247191,21.337078651685392,7.576619273301738
92,P Prasanth,Slow left-arm orthodox,6,0,18,inf,inf,18.0
93,Niraj Patel,,0,0,0,,,0.0
94,PA Patel,,0,0,0,,,0.0
95,Rajesh Pawar,Slow left-arm orthodox,0,0,0,,,0.0
96,Udit Patel,Right-arm offbreak,0,0,0,,,0.0
97,DT Patil,,0,0,0,,,0.0
98,RR Powar,Right-arm offbreak,426,13,538,41.38461538461539,32.76923076923077,7.577464788732394
99,YK Pathan,Right-arm offbreak,1147,42,1443,34.357142857142854,27.30952380952381,7.548387096774194
100,CA Pujara,Legbreak,0,0,0,,,0.0
101,IK Pathan,Left-arm medium-fast,2043,80,2711,33.8875,25.5375,7.961820851688693
102,MM Patel,Right-arm medium-fast,1355,74,1733,23.41891891891892,18.31081081081081,7.6738007380073805
103,PP Chawla,Legbreak,3250,156,4330,27.756410256410255,20.833333333333332,7.993846153846154
104,Pankaj Singh,Right-arm medium-fast,0,0,0,,,0.0
105,Syed Quadri,Right-arm offbreak,0,0,0,,,0.0
106,Shashi Ranjan,Right-arm offbreak,0,0,0,,,0.0
107,AT Rayudu,Right-arm offbreak,0,0,0,,,0.0
108,SK Raina,Right-arm offbreak,908,25,1139,45.56,36.32,7.526431718061674
109,M Rawat,,0,0,0,,,0.0
110,S Rana,Right-arm medium-fast,16,0,18,inf,inf,6.75
111,RK Sabharwal,,0,0,0,,,0.0
112,Syed Shahabuddin,Right-arm medium-fast,0,0,0,,,0.0
113,Dhiran Salvi,,0,0,0,,,0.0
114,R Sathish,Right-arm medium,139,3,233,77.66666666666667,46.333333333333336,10.057553956834532
115,LR Shukla,Right-arm medium,314,15,458,30.533333333333335,20.933333333333334,8.751592356687897
116,RS Sodhi,Right-arm medium,0,0,0,,,0.0
117,RG Sharma,Right-arm offbreak,332,15,449,29.933333333333334,22.133333333333333,8.114457831325302
118,S Sriram,Slow left-arm orthodox,18,0,49,inf,inf,16.333333333333332
119,TP Sudhindra,Right-arm fast,0,0,0,,,0.0
120,P Sahu,Legbreak googly,105,3,152,50.666666666666664,35.0,8.685714285714285
121,Sarandeep Singh,Right-arm offbreak,0,0,0,,,0.0
122,SJ Srivastava,Left-arm fast-medium,282,14,444,31.714285714285715,20.142857142857142,9.446808510638299
123,AM Salvi,Right-arm medium,150,7,205,29.285714285714285,21.428571428571427,8.2
124,S Sreesanth,Right-arm fast-medium,880,40,1221,30.525,22.0,8.325
125,TL Suman,Right-arm offbreak,150,6,198,33.0,25.0,7.92
126,PR Shah,,0,0,0,,,0.0
127,Jatin Saxena,Legbreak,0,0,0,,,0.0
128,SS Sarkar,Right-arm medium,25,1,34,34.0,25.0,8.16
129,Sanjib Sanyal,Right-arm medium,0,0,0,,,0.0
130,Jaydev Shah,Right-arm offbreak,0,0,0,,,0.0
131,J Syed Mohammad,Slow left-arm orthodox,0,0,0,,,0.0
132,V Sehwag,Right-arm offbreak,136,6,236,39.333333333333336,22.666666666666668,10.411764705882353
133,RP Singh,Left-arm fast-medium,1775,90,2417,26.855555555555554,19.72222222222222,8.170140845070422
134,VRV Singh,Right-arm medium-fast,360,12,549,45.75,30.0,9.15
135,Sunny Singh,Right-arm medium-fast,0,0,0,,,0.0
136,SR Tendulkar,"Right-arm offbreak, Legbreak googly",36,0,59,inf,inf,9.833333333333334
137,Bhavik Thaker,Right-arm offbreak,0,0,0,,,0.0
138,SK Trivedi,Right-arm medium,1506,65,1944,29.907692307692308,23.16923076923077,7.745019920318725
139,YV Takawale,,0,0,0,,,0.0
140,SS Tiwary,,0,0,0,,,0.0
141,Mayank Tehlan,Right-arm offbreak,0,0,0,,,0.0
142,TM Srivastava,Right-arm medium,0,0,0,,,0.0
143,MK Tiwary,Legbreak googly,42,1,83,83.0,42.0,11.857142857142858
144,RV Uthappa,Right-arm medium,0,0,0,,,0.0
145,A Uniyal,Left-arm medium,36,2,67,33.5,18.0,11.166666666666666
146,S Vidyut,Slow left-arm orthodox,0,0,0,,,0.0
147,PC Valthaty,Right-arm medium,151,7,207,29.571428571428573,21.571428571428573,8.225165562913908
148,Kuthethurshri Vasudevadas,Legbreak,0,0,0,,,0.0
149,R Vinay Kumar,Right-arm medium,0,0,0,,,0.0
150,Ganapathi Vignesh,Right-arm medium-fast,0,0,0,,,0.0
151,Rajesh Verma,Right-arm medium,0,0,0,,,0.0
152,Y Venugopal Rao,Right-arm offbreak,0,0,0,,,0.0
153,Bipul Sharma,Slow left-arm orthodox,0,0,0,,,0.0
154,Santosh Yadav,Right-arm offbreak,0,0,0,,,0.0
155,DH Yagnik,,0,0,0,,,0.0
156,Tinu Yohannan,Right-arm medium-fast,0,0,0,,,0.0
157,Yuvraj Singh,Slow left-arm orthodox,0,0,0,,,0.0
158,Salil Yadav,Legbreak,0,0,0,,,0.0
159,AS Yadav,Right-arm offbreak,0,0,0,,,0.0
160,Yashpal Singh,Right-arm medium,0,0,0,,,0.0
161,Vivek Yadav,Legbreak,0,0,0,,,0.0
162,AN Ghosh,Right-arm medium,0,0,0,,,0.0
163,AB Dinda,Right-arm medium-fast,1516,69,2103,30.47826086956522,21.971014492753625,8.323218997361478
164,AN Ahmed,Right-arm medium-fast,344,12,515,42.916666666666664,28.666666666666668,8.982558139534884
165,AS Raut,Legbreak googly,30,0,45,inf,inf,9.0
166,Swapnil Singh,Slow left-arm orthodox,0,0,0,,,0.0
167,RA Jadeja,Slow left-arm orthodox,2713,114,3515,30.833333333333332,23.79824561403509,7.773682270549208
168,Puneet Bisht,,0,0,0,,,0.0
169,AP Dole,Right-arm medium-fast,66,5,114,22.8,13.2,10.363636363636363
170,Rajesh Bishnoi,Right-arm medium-fast,0,0,0,,,0.0
171,I Sharma,Right-arm fast-medium,1925,71,2681,37.76056338028169,27.112676056338028,8.356363636363636
172,H Das,,0,0,0,,,0.0
173,M Vijay,Right-arm offbreak,36,0,49,inf,inf,8.166666666666666
174,Jalaj Saxena,Right-arm offbreak,0,0,0,,,0.0
175,SP Jackson,,0,0,0,,,0.0
176,DB Ravi Teja,Legbreak googly,0,0,0,,,0.0
177,Kshemal Waingankar,Right-arm medium-fast,0,0,0,,,0.0
178,MB Parmar,Right-arm offbreak,18,0,33,inf,inf,11.0
179,B Sumanth,Right-arm medium-fast,0,0,0,,,0.0
180,Harshad Khadiwale,Right-arm medium-fast,0,0,0,,,0.0
181,V Kohli,Right-arm medium,251,4,371,92.75,62.75,8.868525896414342
182,Amanpreet Singh,Right-arm medium-fast,0,0,0,,,0.0
183,Robin Bist,Right-arm offbreak,0,0,0,,,0.0
184,UA Birla,Right-arm medium,0,0,0,,,0.0
185,KP Appanna,Slow left-arm orthodox,216,9,291,32.333333333333336,24.0,8.083333333333334
186,Eklak Ahmid,Left-arm medium-fast,0,0,0,,,0.0
187,Akshay Wakhare,Right-arm offbreak,0,0,0,,,0.0
188,Sunny Gupta,Right-arm offbreak,0,0,0,,,0.0
189,DP Vijaykumar,Right-arm medium,152,4,205,51.25,38.0,8.092105263157896
190,R Sharma,Legbreak googly,928,40,1100,27.5,23.2,7.112068965517241
191,Ganesh Gaikwad,Right-arm offbreak,0,0,0,,,0.0
192,N Saini,,0,0,0,,,0.0
193,Sumit Khatri,Slow left-arm chinaman,0,0,0,,,0.0
194,Iqbal Abdulla,Slow left-arm orthodox,0,0,0,,,0.0
195,AM Rahane,Right-arm medium,6,1,5,5.0,6.0,5.0
196,DS Kulkarni,Right-arm medium,1763,86,2465,28.662790697674417,20.5,8.389109472490073
197,D Salunkhe,Legbreak,47,1,80,80.0,47.0,10.212765957446809
198,RA Shaikh,Left-arm medium,0,0,0,,,0.0
199,Napoleon Einstein,Right-arm offbreak,0,0,0,,,0.0
200,PJ Sangwan,Left-arm medium,802,35,1201,34.31428571428572,22.914285714285715,8.98503740648379
201,Chirag Pathak,,0,0,0,,,0.0
202,SB Wagh,Left-arm medium-fast,102,5,147,29.4,20.4,8.647058823529411
203,IR Jaggi,Legbreak googly,0,0,0,,,0.0
204,P Parameswaran,Left-arm medium,154,9,226,25.11111111111111,17.11111111111111,8.805194805194805
205,WP Saha,,0,0,0,,,0.0
206,SS Mundhe,Right-arm medium,6,1,6,6.0,6.0,6.0
207,Anup Revandkar,Right-arm offbreak,0,0,0,,,0.0
208,Shrideep Mangela,Legbreak googly,0,0,0,,,0.0
209,P Amarnath,Right-arm medium,132,7,241,34.42857142857143,18.857142857142858,10.954545454545455
210,MK Pandey,Right-arm medium,0,0,0,,,0.0
211,S Aravind,Left-arm medium-fast,760,45,1057,23.488888888888887,16.88888888888889,8.344736842105263
212,Amit Yadav,Right-arm offbreak,0,0,0,,,0.0
213,RR Raje,Right-arm fast-medium,139,6,214,35.666666666666664,23.166666666666668,9.237410071942445
214,KM Jadhav,Right-arm offbreak,0,0,0,,,0.0
215,Abdulahad Malek,,0,0,0,,,0.0
216,Ishwar Chaudhary,Right-arm fast-medium,0,0,0,,,0.0
217,R Dhawan,Right-arm medium-fast,488,18,655,36.388888888888886,27.11111111111111,8.05327868852459
218,Natraj Behera,,0,0,0,,,0.0
219,CM Gautam,,0,0,0,,,0.0
220,SP Goswami,,0,0,0,,,0.0
221,A Mukund,Legbreak googly,0,0,0,,,0.0
222,Mohammed Arif,Right-arm medium,0,0,0,,,0.0
223,VS Yeligati,Right-arm offbreak,30,0,61,inf,inf,12.2
224,A Mithun,Right-arm medium,288,7,477,68.14285714285714,41.142857142857146,9.9375
225,Suresh Kumar,Right-arm offbreak,0,0,0,,,0.0
226,S Ladda,Legbreak,138,5,225,45.0,27.6,9.782608695652174
227,MS Gony,Right-arm medium,888,37,1317,35.5945945945946,24.0,8.89864864864865
228,Shoaib Ahmed,Right-arm fast-medium,0,0,0,,,0.0
229,Samad Fallah,Left-arm medium,0,0,0,,,0.0
230,S Tyagi,Right-arm medium,209,6,304,50.666666666666664,34.833333333333336,8.727272727272727
231,Y Nagar,Right-arm offbreak,66,4,125,31.25,16.5,11.363636363636363
232,X Thalaivan Sargunam,Right-arm offbreak,0,0,0,,,0.0
233,KB Arun Karthik,Legbreak googly,0,0,0,,,0.0
234,Karanveer Singh,Legbreak googly,0,0,0,,,0.0
235,Murtuza Hussain,Right-arm medium,0,0,0,,,0.0
236,P Awana,Right-arm medium,747,39,1046,26.82051282051282,19.153846153846153,8.401606425702811
237,AG Paunikar,,0,0,0,,,0.0
238,B Kumar,Right-arm medium,0,0,0,,,0.0
239,S Kaul,Right-arm medium,1005,51,1476,28.941176470588236,19.705882352941178,8.811940298507462
240,Gajendra Singh,Slow left-arm orthodox,0,0,0,,,0.0
241,AR Bawne,Right-arm offbreak,0,0,0,,,0.0
242,Ameya Shrikhande,Right-arm medium,0,0,0,,,0.0
243,PM Sarvesh Kumar,Right-arm medium,0,0,0,,,0.0
244,Iresh Saxena,Slow left-arm orthodox,0,0,0,,,0.0
245,DB Das,Legbreak googly,0,0,0,,,0.0
246,T Kohli,Right-arm medium,0,0,0,,,0.0
247,AP Tare,,0,0,0,,,0.0
248,AA Chavan,Slow left-arm orthodox,248,8,339,42.375,31.0,8.201612903225806
249,SD Chitnis,Right-arm offbreak,36,2,62,31.0,18.0,10.333333333333334
250,Kuldeep Raval,Slow left-arm orthodox,0,0,0,,,0.0
251,Manan Sharma,Slow left-arm orthodox,0,0,0,,,0.0
252,Tekkami Atchuta Rao,Left-arm medium,0,0,0,,,0.0
253,Kedar Devdhar,,0,0,0,,,0.0
254,Viraj Kadbe,Legbreak,0,0,0,,,0.0
255,ER Dwivedi,,0,0,0,,,0.0
256,Harpreet Singh,Right-arm medium,0,0,0,,,0.0
257,Imtiaz Ahmed,Right-arm medium,0,0,0,,,0.0
258,Tejashwi Yadav,Right-arm bowler,0,0,0,,,0.0
259,S Gopal,Legbreak,889,48,1173,24.4375,18.520833333333332,7.916760404949382
260,R Ninan,Right-arm offbreak,36,3,65,21.666666666666668,12.0,10.833333333333334
261,VR Aaron,Right-arm fast,964,42,1474,35.095238095238095,22.952380952380953,9.174273858921161
262,AL Menaria,Slow left-arm orthodox,110,3,144,48.0,36.666666666666664,7.8545454545454545
263,Jaskaran Singh,Right-arm medium,0,0,0,,,0.0
264,PA Reddy,Legbreak,0,0,0,,,0.0
265,UT Yadav,Right-arm fast-medium,2523,119,3672,30.857142857142858,21.201680672268907,8.732461355529132
266,Jagrit Anand,Right-arm medium,0,0,0,,,0.0
267,Lokesh Sharma,Right-arm fast-medium,0,0,0,,,0.0
268,Jatin Patel,Slow left-arm orthodox,0,0,0,,,0.0
269,Anureet Singh,Right-arm medium,0,0,0,,,0.0
270,Rahul Yadav,,0,0,0,,,0.0
271,Akbar Khan,Left-arm fast-medium,0,0,0,,,0.0
272,Naveen Dahiya,Right-arm fast-medium,0,0,0,,,0.0
273,Saurabh Singh,,0,0,0,,,0.0
274,SS Shaikh,Right-arm medium,0,0,0,,,0.0
275,Shashank Singh,Right-arm offbreak,0,0,0,,,0.0
276,Mohammad Sanuth,Right-arm offbreak,0,0,0,,,0.0
277,Parvez Rasool,Right-arm offbreak,0,0,0,,,0.0
278,A Ashish Reddy,Right-arm medium,0,0,0,,,0.0
279,Rangaraj Suthesh,Left-arm medium,0,0,0,,,0.0
280,MC Juneja,Right-arm offbreak,0,0,0,,,0.0
281,HV Patel,Right-arm medium,926,46,1380,30.0,20.130434782608695,8.941684665226783
282,JD Unadkat,Left-arm medium,1644,81,2447,30.209876543209877,20.296296296296298,8.930656934306569
283,R Shukla,Right-arm medium,120,5,217,43.4,24.0,10.85
284,Abhisek Banerjee,Right-arm offbreak,0,0,0,,,0.0
285,Kamran Khan,Left-arm medium-fast,0,0,0,,,0.0
286,Harmeet Singh,Right-arm medium,0,0,0,,,0.0
287,MA Agarwal,,0,0,0,,,0.0
288,KK Nair,Right-arm offbreak,0,0,0,,,0.0
289,Mandeep Singh,Right-arm medium,0,0,0,,,0.0
290,Atul Sharma,Right-arm fast,0,0,0,,,0.0
291,Pushkaraj Chavan,Slow left-arm orthodox,0,0,0,,,0.0
292,Pratmesh Salunkhe,,0,0,0,,,0.0
293,Jude Singh,,0,0,0,,,0.0
294,Yash Gandhi,,0,0,0,,,0.0
295,Aniruddha Joshi,Right-arm offbreak,0,0,0,,,0.0
296,Pavan Deshpande,Right-arm offbreak,0,0,0,,,0.0
297,AA Kazi,Slow left-arm orthodox,12,0,21,inf,inf,10.5
298,KL Rahul,,0,0,0,,,0.0
299,SD Lad,Right-arm offbreak,0,0,0,,,0.0
300,Joginder Singh,Right-arm medium,0,0,0,,,0.0
301,Harmeet Singh (2),Slow left-arm orthodox,0,0,0,,,0.0
302,Ankit Sharma,Slow left-arm orthodox,0,0,0,,,0.0
303,R Tewatia,Legbreak,572,24,684,28.5,23.833333333333332,7.174825174825175
304,RG More,Right-arm medium,35,1,63,63.0,35.0,10.8
305,K Gowtham,Right-arm offbreak,408,13,576,44.30769230769231,31.384615384615383,8.470588235294118
306,SV Samson,,0,0,0,,,0.0
307,BB Samantray,Right-arm medium,0,0,0,,,0.0
308,YS Chahal,Legbreak googly,2130,121,2782,22.99173553719008,17.60330578512397,7.836619718309859
