,NAME,COUNTRY,Full name,Major teams,Batting style,Bowling style,sname,foreign,Bat,Bowl,Spin/Medium
0,Nathan Bracken,Australia,Nathan Wade Bracken,"['Australia,', 'Gloucestershire,', 'New South Wales,', 'Royal Challengers Bangalore,', 'Worcestershire']",Right-hand bat,Left-arm fast-medium,NW Bracken,1,Right,Left,medium
1,TR Birt,Australia,Travis Rodney Birt,"['Australia,', 'Australia A,', 'Delhi Daredevils,', 'Derbyshire,', 'Hobart Hurricanes,', 'Khulna Royal Bengals,', 'Northern Districts,', 'Tasmania,', 'Wellington']",Left-hand bat,Right-arm medium,TR Birt,1,Left,Right,medium
2,GJ Bailey,Australia,George John Bailey,"['Australia,', 'Scotland,', 'Australia A,', 'Chennai Super Kings,', 'Hampshire,', 'Hobart Hurricanes,', 'Kings XI Punjab,', 'Melbourne Stars,', 'Middlesex,', 'Rising Pune Supergiants,', 'Sussex,', 'Tasmania,', 'Tasmania Under-19s,', 'World-XI']",Right-hand bat,Right-arm medium,GJ Bailey,1,Right,Right,medium
3,AC Blizzard,Australia,Aiden Craig Blizzard,"['Adelaide Strikers,', 'Canterbury,', 'Hobart Hurricanes,', 'Marylebone Cricket Club,', 'Mumbai Indians,', 'Rajshahi Division,', 'South Australia,', 'Sydney Thunder,', 'Tasmania,', 'Victoria']",Left-hand bat,Left-arm medium,AC Blizzard,1,Left,Left,medium
4,DE Bollinger,Australia,Douglas Erwin Bollinger,"['Australia,', 'Australia A,', 'Chennai Super Kings,', 'Hobart Hurricanes,', 'New South Wales,', 'Sydney Sixers,', 'Sydney Thunder,', 'Worcestershire']",Left-hand bat,Left-arm fast-medium,DE Bollinger,1,Left,Left,medium
5,LA Carseldine,Australia,Lee Andrew Carseldine,"['Beenleigh-Logan,', 'Queensland,', 'Rajasthan Royals,', 'Valley District Cricket Club']",Left-hand bat,Left-arm medium,LA Carseldine,1,Left,Left,medium
6,MJ Clarke,Australia,Michael John Clarke,"['Australia,', 'Hampshire,', 'New South Wales,', 'Pune Warriors']",Right-hand bat,Slow left-arm orthodox,MJ Clarke,1,Right,Right,slow
7,Mark Cameron,Australia,Mark Alan Cameron,"['Kolkata Knight Riders,', 'New South Wales']",Right-hand bat,Right-arm fast,MA Cameron,1,Right,Right,fast
8,DT Christian,Australia,Daniel Trevor Christian,"['Australia,', 'Brisbane Heat,', 'Deccan Chargers,', 'Delhi Daredevils,', 'Gloucestershire,', 'Hampshire,', 'Hobart Hurricanes,', 'Melbourne Renegades,', 'Middlesex,', 'Middlesex 2nd XI,', 'Multan Sultans,', 'New South Wales,', 'Rising Pune Supergiant,', 'Royal Challengers Bangalore,', 'South Australia,', 'Trinbago Knight Riders,', 'Victoria']",Right-hand bat,Right-arm fast-medium,DT Christian,1,Right,Right,medium
9,CJ Ferguson,Australia,Callum James Ferguson,"['Australia,', 'Adelaide Strikers,', 'Australia A,', 'Melbourne Renegades,', 'Pune Warriors,', 'South Australia,', 'Sydney Thunder,', 'Worcestershire']",Right-hand bat,Right-arm medium,CJ Ferguson,1,Right,Right,medium
10,AJ Finch,Australia,Aaron James Finch,"['Australia,', 'Auckland,', 'Australia A,', 'Australia Under-19s,', 'Delhi Daredevils,', 'Gujarat Lions,', 'Kings XI Punjab,', 'Melbourne Renegades,', 'Mumbai Indians,', 'Pune Warriors,', 'Rajasthan Royals,', 'Sunrisers Hyderabad,', 'Surrey,', 'Victoria,', 'Victoria Under-15s,', 'Victoria Under-17s,', 'Victoria Under-19s,', 'Yorkshire']",Right-hand bat,Slow left-arm orthodox,AJ Finch,1,Right,Right,slow
11,AC Gilchrist,Australia,Adam Craig Gilchrist,"['Australia,', 'Deccan Chargers,', 'ICC World XI,', 'Kings XI Punjab,', 'Middlesex,', 'New South Wales,', 'Western Australia']",Left-hand bat,Right-arm offbreak,AC Gilchrist,1,Left,Right,off
12,B Geeves,Australia,Brett Geeves,"['Australia,', 'Delhi Daredevils,', 'Tasmania']",Right-hand bat,Right-arm fast-medium,B Geeves,1,Right,Right,medium
13,BJ Haddin,Australia,Bradley James Haddin,"['Australia,', 'Australian Capital Territory,', 'Islamabad United,', 'Kolkata Knight Riders,', 'New South Wales,', 'Sydney Sixers']",Right-hand bat,,BJ Haddin,1,Right,Right,
14,DJ Harris,Australia,Daniel Joseph Harris,"['Adelaide Strikers,', 'Deccan Chargers,', 'Northern Districts,', 'South Australia']",Right-hand bat,Right-arm medium,DJ Harris,1,Right,Right,medium
15,SM Harwood,Australia,Shane Michael Harwood,"['Australia,', 'Barisal Burners,', 'Khulna Royal Bengals,', 'Rajasthan Royals,', 'Victoria']",Right-hand bat,Right-arm fast-medium,SM Harwood,1,Right,Right,medium
16,ML Hayden,Australia,Matthew Lawrence Hayden,"['Australia,', 'Brisbane Heat,', 'Chennai Super Kings,', 'Hampshire,', 'ICC World XI,', 'Northamptonshire,', 'Queensland']",Left-hand bat,Right-arm medium,ML Hayden,1,Left,Right,medium
