,match_id,team_total,Unnamed: 0,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed,total_runs_scored,wickets_remaining,balls_remaining,striker_score,non_striker_score,partnership,runs_remaining
0,959175,128,7110,2015/16,2016-02-04,Dubai International Cricket Stadium,1,0.1,Islamabad United,Quetta Gladiators,SR Watson,Sharjeel Khan,Anwar Ali,0,0,,,,,,,,,,0,10,120,0,0,0,128
1,959175,128,7111,2015/16,2016-02-04,Dubai International Cricket Stadium,1,0.2,Islamabad United,Quetta Gladiators,SR Watson,Sharjeel Khan,Anwar Ali,0,0,,,,,,,,,,0,10,119,0,0,0,128
2,959175,128,7112,2015/16,2016-02-04,Dubai International Cricket Stadium,1,0.3,Islamabad United,Quetta Gladiators,SR Watson,Sharjeel Khan,Anwar Ali,0,0,,,,,,,,,,0,10,118,0,0,0,128
3,959175,128,7113,2015/16,2016-02-04,Dubai International Cricket Stadium,1,0.4,Islamabad United,Quetta Gladiators,SR Watson,Sharjeel Khan,Anwar Ali,0,0,,,,,,,,,,0,10,117,0,0,0,128
4,959175,128,7114,2015/16,2016-02-04,Dubai International Cricket Stadium,1,0.5,Islamabad United,Quetta Gladiators,SR Watson,Sharjeel Khan,Anwar Ali,0,0,,,,,,,,,,0,10,116,0,0,0,128
5,959175,128,7115,2015/16,2016-02-04,Dubai International Cricket Stadium,1,0.6,Islamabad United,Quetta Gladiators,SR Watson,Sharjeel Khan,Anwar Ali,0,0,,,,,,,,,,0,10,115,0,0,0,128
6,959175,128,7116,2015/16,2016-02-04,Dubai International Cricket Stadium,1,1.1,Islamabad United,Quetta Gladiators,Sharjeel Khan,SR Watson,Zulfiqar Babar,0,0,,,,,,,,,,0,10,114,0,0,0,128
7,959175,128,7117,2015/16,2016-02-04,Dubai International Cricket Stadium,1,1.2,Islamabad United,Quetta Gladiators,Sharjeel Khan,SR Watson,Zulfiqar Babar,1,0,,,,,,,,,,0,10,113,0,0,0,127
8,959175,128,7118,2015/16,2016-02-04,Dubai International Cricket Stadium,1,1.3,Islamabad United,Quetta Gladiators,SR Watson,Sharjeel Khan,Zulfiqar Babar,2,0,,,,,,,,,,1,10,112,0,1,1,125
9,959175,128,7119,2015/16,2016-02-04,Dubai International Cricket Stadium,1,1.4,Islamabad United,Quetta Gladiators,SR Watson,Sharjeel Khan,Zulfiqar Babar,0,0,,,,,,,,,,3,10,111,2,1,3,125
10,959175,128,7120,2015/16,2016-02-04,Dubai International Cricket Stadium,1,1.5,Islamabad United,Quetta Gladiators,SR Watson,Sharjeel Khan,Zulfiqar Babar,0,0,,,,,,,,,,3,10,110,2,1,3,125
11,959175,128,7121,2015/16,2016-02-04,Dubai International Cricket Stadium,1,1.6,Islamabad United,Quetta Gladiators,SR Watson,Sharjeel Khan,Zulfiqar Babar,2,0,,,,,,,,,,3,10,109,2,1,3,123
12,959175,128,7122,2015/16,2016-02-04,Dubai International Cricket Stadium,1,2.1,Islamabad United,Quetta Gladiators,Sharjeel Khan,SR Watson,Anwar Ali,1,0,,,,,,,,,,5,10,108,1,4,5,122
13,959175,128,7123,2015/16,2016-02-04,Dubai International Cricket Stadium,1,2.2,Islamabad United,Quetta Gladiators,SR Watson,Sharjeel Khan,Anwar Ali,4,0,,,,,,,,,,6,10,107,4,2,6,118
14,959175,128,7124,2015/16,2016-02-04,Dubai International Cricket Stadium,1,2.3,Islamabad United,Quetta Gladiators,SR Watson,Sharjeel Khan,Anwar Ali,0,0,,,,,,,,,,10,10,106,8,2,10,118
15,959175,128,7125,2015/16,2016-02-04,Dubai International Cricket Stadium,1,2.4,Islamabad United,Quetta Gladiators,SR Watson,Sharjeel Khan,Anwar Ali,0,0,,,,,,,,,,10,10,105,8,2,10,118
16,959175,128,7126,2015/16,2016-02-04,Dubai International Cricket Stadium,1,2.5,Islamabad United,Quetta Gladiators,SR Watson,Sharjeel Khan,Anwar Ali,0,0,,,,,,,,,,10,10,104,8,2,10,118
17,959175,128,7127,2015/16,2016-02-04,Dubai International Cricket Stadium,1,2.6,Islamabad United,Quetta Gladiators,SR Watson,Sharjeel Khan,Anwar Ali,1,0,,,,,,,,,,10,10,103,8,2,10,117
18,959175,128,7128,2015/16,2016-02-04,Dubai International Cricket Stadium,1,3.1,Islamabad United,Quetta Gladiators,SR Watson,Sharjeel Khan,Mohammad Nabi,0,0,,,,,,,,,,11,10,102,9,2,11,117
19,959175,128,7129,2015/16,2016-02-04,Dubai International Cricket Stadium,1,3.2,Islamabad United,Quetta Gladiators,SR Watson,Sharjeel Khan,Mohammad Nabi,0,0,,,,,,,,,,11,10,101,9,2,11,117
20,959175,128,7130,2015/16,2016-02-04,Dubai International Cricket Stadium,1,3.3,Islamabad United,Quetta Gladiators,SR Watson,Sharjeel Khan,Mohammad Nabi,1,0,,,,,,,,,,11,10,100,9,2,11,116
21,959175,128,7131,2015/16,2016-02-04,Dubai International Cricket Stadium,1,3.4,Islamabad United,Quetta Gladiators,Sharjeel Khan,SR Watson,Mohammad Nabi,0,0,,,,,,,,,,12,10,99,2,10,12,116
22,959175,128,7132,2015/16,2016-02-04,Dubai International Cricket Stadium,1,3.5,Islamabad United,Quetta Gladiators,Sharjeel Khan,SR Watson,Mohammad Nabi,0,0,,,,,,,,,,12,10,98,2,10,12,116
