,match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
0,1075996,2016/17,2017-02-18,Sharjah Cricket Stadium,1,0.1,Lahore Qalandars,Quetta Gladiators,JJ Roy,Fakhar Zaman,Zulfiqar Babar,0,0,,,,,,,,,
1,1075996,2016/17,2017-02-18,Sharjah Cricket Stadium,1,0.2,Lahore Qalandars,Quetta Gladiators,JJ Roy,Fakhar Zaman,Zulfiqar Babar,4,0,,,,,,,,,
2,1075996,2016/17,2017-02-18,Sharjah Cricket Stadium,1,0.3,Lahore Qalandars,Quetta Gladiators,JJ Roy,Fakhar Zaman,Zulfiqar Babar,1,0,,,,,,,,,
3,1075996,2016/17,2017-02-18,Sharjah Cricket Stadium,1,0.4,Lahore Qalandars,Quetta Gladiators,Fakhar Zaman,JJ Roy,Zulfiqar Babar,0,0,,,,,,,,,
4,1075996,2016/17,2017-02-18,Sharjah Cricket Stadium,1,0.5,Lahore Qalandars,Quetta Gladiators,Fakhar Zaman,JJ Roy,Zulfiqar Babar,4,0,,,,,,,,,
5,1075996,2016/17,2017-02-18,Sharjah Cricket Stadium,1,0.6,Lahore Qalandars,Quetta Gladiators,Fakhar Zaman,JJ Roy,Zulfiqar Babar,4,0,,,,,,,,,
6,1075996,2016/17,2017-02-18,Sharjah Cricket Stadium,1,1.1,Lahore Qalandars,Quetta Gladiators,JJ Roy,Fakhar Zaman,Anwar Ali,0,0,,,,,,,,,
7,1075996,2016/17,2017-02-18,Sharjah Cricket Stadium,1,1.2,Lahore Qalandars,Quetta Gladiators,JJ Roy,Fakhar Zaman,Anwar Ali,0,0,,,,,,,,,
8,1075996,2016/17,2017-02-18,Sharjah Cricket Stadium,1,1.3,Lahore Qalandars,Quetta Gladiators,JJ Roy,Fakhar Zaman,Anwar Ali,0,0,,,,,,,,,
9,1075996,2016/17,2017-02-18,Sharjah Cricket Stadium,1,1.4,Lahore Qalandars,Quetta Gladiators,JJ Roy,Fakhar Zaman,Anwar Ali,1,0,,,,,,,,,
10,1075996,2016/17,2017-02-18,Sharjah Cricket Stadium,1,1.5,Lahore Qalandars,Quetta Gladiators,Fakhar Zaman,JJ Roy,Anwar Ali,1,0,,,,,,,,,
11,1075996,2016/17,2017-02-18,Sharjah Cricket Stadium,1,1.6,Lahore Qalandars,Quetta Gladiators,JJ Roy,Fakhar Zaman,Anwar Ali,4,0,,,,,,,,,
12,1075996,2016/17,2017-02-18,Sharjah Cricket Stadium,1,2.1,Lahore Qalandars,Quetta Gladiators,Fakhar Zaman,JJ Roy,Zulfiqar Babar,0,0,,,,,,,,,
13,1075996,2016/17,2017-02-18,Sharjah Cricket Stadium,1,2.2,Lahore Qalandars,Quetta Gladiators,Fakhar Zaman,JJ Roy,Zulfiqar Babar,1,0,,,,,,,,,
14,1075996,2016/17,2017-02-18,Sharjah Cricket Stadium,1,2.3,Lahore Qalandars,Quetta Gladiators,JJ Roy,Fakhar Zaman,Zulfiqar Babar,0,2,,,,2.0,,,,,
15,1075996,2016/17,2017-02-18,Sharjah Cricket Stadium,1,2.4,Lahore Qalandars,Quetta Gladiators,JJ Roy,Fakhar Zaman,Zulfiqar Babar,4,0,,,,,,,,,
16,1075996,2016/17,2017-02-18,Sharjah Cricket Stadium,1,2.5,Lahore Qalandars,Quetta Gladiators,JJ Roy,Fakhar Zaman,Zulfiqar Babar,4,0,,,,,,,,,
17,1075996,2016/17,2017-02-18,Sharjah Cricket Stadium,1,2.6,Lahore Qalandars,Quetta Gladiators,JJ Roy,Fakhar Zaman,Zulfiqar Babar,1,0,,,,,,,,,
18,1075996,2016/17,2017-02-18,Sharjah Cricket Stadium,1,3.1,Lahore Qalandars,Quetta Gladiators,JJ Roy,Fakhar Zaman,Anwar Ali,1,0,,,,,,,,,
19,1075996,2016/17,2017-02-18,Sharjah Cricket Stadium,1,3.2,Lahore Qalandars,Quetta Gladiators,Fakhar Zaman,JJ Roy,Anwar Ali,0,0,,,,,,,,,
20,1075996,2016/17,2017-02-18,Sharjah Cricket Stadium,1,3.3,Lahore Qalandars,Quetta Gladiators,Fakhar Zaman,JJ Roy,Anwar Ali,1,0,,,,,,,,,
21,1075996,2016/17,2017-02-18,Sharjah Cricket Stadium,1,3.4,Lahore Qalandars,Quetta Gladiators,JJ Roy,Fakhar Zaman,Anwar Ali,1,0,,,,,,,,,
22,1075996,2016/17,2017-02-18,Sharjah Cricket Stadium,1,3.5,Lahore Qalandars,Quetta Gladiators,Fakhar Zaman,JJ Roy,Anwar Ali,1,1,,1.0,,,,,,,
23,1075996,2016/17,2017-02-18,Sharjah Cricket Stadium,1,3.6,Lahore Qalandars,Quetta Gladiators,JJ Roy,Fakhar Zaman,Anwar Ali,6,0,,,,,,,,,
