,match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed,total_runs_scored,wickets_remaining,balls_remaining,striker_score,non_striker_score,partnership
0,1270837,2021,2021-08-07,"Shere Bangla National Stadium, Mirpur",1,0.1,Bangladesh,Australia,Mohammad Naim,Soumya Sarkar,AJ Turner,0,0,,,,,,,,,,0,10,120,0,0,0
1,1270837,2021,2021-08-07,"Shere Bangla National Stadium, Mirpur",1,0.2,Bangladesh,Australia,Mohammad Naim,Soumya Sarkar,AJ Turner,0,0,,,,,,,,,,0,10,119,0,0,0
2,1270837,2021,2021-08-07,"Shere Bangla National Stadium, Mirpur",1,0.3,Bangladesh,Australia,Mohammad Naim,Soumya Sarkar,AJ Turner,1,0,,,,,,,,,,0,10,118,0,0,0
3,1270837,2021,2021-08-07,"Shere Bangla National Stadium, Mirpur",1,0.4,Bangladesh,Australia,Soumya Sarkar,Mohammad Naim,AJ Turner,0,0,,,,,,,,,,1,10,117,0,1,1
4,1270837,2021,2021-08-07,"Shere Bangla National Stadium, Mirpur",1,0.5,Bangladesh,Australia,Soumya Sarkar,Mohammad Naim,AJ Turner,1,0,,,,,,,,,,1,10,116,0,1,1
5,1270837,2021,2021-08-07,"Shere Bangla National Stadium, Mirpur",1,0.6,Bangladesh,Australia,Mohammad Naim,Soumya Sarkar,AJ Turner,0,0,,,,,,,,,,2,10,115,1,1,2
6,1270837,2021,2021-08-07,"Shere Bangla National Stadium, Mirpur",1,1.1,Bangladesh,Australia,Soumya Sarkar,Mohammad Naim,JR Hazlewood,0,0,,,,,,,,,,2,10,114,1,1,2
7,1270837,2021,2021-08-07,"Shere Bangla National Stadium, Mirpur",1,1.2,Bangladesh,Australia,Soumya Sarkar,Mohammad Naim,JR Hazlewood,0,0,,,,,,,,,,2,10,113,1,1,2
8,1270837,2021,2021-08-07,"Shere Bangla National Stadium, Mirpur",1,1.3,Bangladesh,Australia,Soumya Sarkar,Mohammad Naim,JR Hazlewood,1,0,,,,,,,,,,2,10,112,1,1,2
9,1270837,2021,2021-08-07,"Shere Bangla National Stadium, Mirpur",1,1.4,Bangladesh,Australia,Mohammad Naim,Soumya Sarkar,JR Hazlewood,4,0,,,,,,,,,,3,10,111,1,2,3
10,1270837,2021,2021-08-07,"Shere Bangla National Stadium, Mirpur",1,1.5,Bangladesh,Australia,Mohammad Naim,Soumya Sarkar,JR Hazlewood,4,0,,,,,,,,,,7,10,110,5,2,7
11,1270837,2021,2021-08-07,"Shere Bangla National Stadium, Mirpur",1,1.6,Bangladesh,Australia,Mohammad Naim,Soumya Sarkar,JR Hazlewood,1,0,,,,,,,,,,11,10,109,9,2,11
12,1270837,2021,2021-08-07,"Shere Bangla National Stadium, Mirpur",1,2.1,Bangladesh,Australia,Mohammad Naim,Soumya Sarkar,AJ Turner,1,0,,,,,,,,,,12,10,108,10,2,12
13,1270837,2021,2021-08-07,"Shere Bangla National Stadium, Mirpur",1,2.2,Bangladesh,Australia,Soumya Sarkar,Mohammad Naim,AJ Turner,6,0,,,,,,,,,,13,10,107,2,11,13
14,1270837,2021,2021-08-07,"Shere Bangla National Stadium, Mirpur",1,2.3,Bangladesh,Australia,Soumya Sarkar,Mohammad Naim,AJ Turner,0,2,2.0,,,,,,,,,19,10,106,8,11,19
15,1270837,2021,2021-08-07,"Shere Bangla National Stadium, Mirpur",1,2.3,Bangladesh,Australia,Mohammad Naim,Soumya Sarkar,AJ Turner,1,0,,,,,,,,,,21,10,106,11,8,21
16,1270837,2021,2021-08-07,"Shere Bangla National Stadium, Mirpur",1,2.4,Bangladesh,Australia,Soumya Sarkar,Mohammad Naim,AJ Turner,0,0,,,,,,,,,,22,10,105,8,12,22
17,1270837,2021,2021-08-07,"Shere Bangla National Stadium, Mirpur",1,2.5,Bangladesh,Australia,Soumya Sarkar,Mohammad Naim,AJ Turner,0,0,,,,,,,,,,22,10,104,8,12,22
18,1270837,2021,2021-08-07,"Shere Bangla National Stadium, Mirpur",1,2.6,Bangladesh,Australia,Soumya Sarkar,Mohammad Naim,AJ Turner,0,0,,,,,,,,,,22,10,103,8,12,22
19,1270837,2021,2021-08-07,"Shere Bangla National Stadium, Mirpur",1,3.1,Bangladesh,Australia,Mohammad Naim,Soumya Sarkar,JR Hazlewood,0,1,,1.0,,,,,,,,22,10,102,12,8,22
20,1270837,2021,2021-08-07,"Shere Bangla National Stadium, Mirpur",1,3.1,Bangladesh,Australia,Mohammad Naim,Soumya Sarkar,JR Hazlewood,0,0,,,,,,,,,,23,10,102,12,8,23
21,1270837,2021,2021-08-07,"Shere Bangla National Stadium, Mirpur",1,3.2,Bangladesh,Australia,Mohammad Naim,Soumya Sarkar,JR Hazlewood,1,0,,,,,,,,,,23,10,101,12,8,23
